,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kigoma,-4.88,29.63,73.45,69,33,2.37,TZ,1595462130
1,Carnarvon,-24.87,113.63,53.6,100,0,4.7,AU,1595462012
2,Touros,-5.2,-35.46,77.0,78,75,8.05,BR,1595461864
3,Ugoofaaru,5.67,73.0,81.75,78,98,20.62,MV,1595462131
4,Khatanga,71.97,102.5,47.05,81,100,16.6,RU,1595461998
5,Punta Arenas,-53.15,-70.92,28.4,92,18,10.29,CL,1595462079
6,La Ronge,55.1,-105.28,80.6,47,75,11.41,CA,1595461949
7,Thompson,55.74,-97.86,68.0,77,75,3.36,CA,1595461984
8,Rikitea,-23.12,-134.97,67.08,59,100,12.88,PF,1595461998
9,Igarka,67.47,86.58,55.72,62,96,11.97,RU,1595462131
10,Chui,-33.7,-53.46,64.74,95,100,7.2,UY,1595462131
11,Mataura,-46.19,168.86,39.0,83,97,3.0,NZ,1595462131
12,Brainerd,46.36,-94.2,71.6,60,90,3.36,US,1595462132
13,Gemeente Loon op Zand,51.64,5.05,55.99,81,25,2.24,NL,1595462132
14,Marsh Harbour,26.54,-77.06,83.35,78,86,16.11,BS,1595462132
15,Ribeira Grande,38.52,-28.7,70.29,71,23,2.66,PT,1595462132
16,Vaini,-21.2,-175.2,75.2,78,75,8.05,TO,1595462007
17,Jamestown,42.1,-79.24,75.99,88,90,6.06,US,1595461908
18,Bluff,-46.6,168.33,39.0,83,97,3.0,NZ,1595462132
19,Severo-Kuril'sk,50.68,156.12,52.05,85,55,2.51,RU,1595462132
20,Salina,38.84,-97.61,90.0,52,20,6.93,US,1595462132
21,Saint-Pierre,-21.34,55.48,66.2,55,90,8.05,RE,1595462132
22,Atuona,-9.8,-139.03,79.54,73,0,17.69,PF,1595462133
23,Cherskiy,68.75,161.3,80.46,24,94,12.62,RU,1595462133
24,Omboué,-1.57,9.26,72.18,85,35,6.42,GA,1595462133
25,Bucarasica,8.04,-72.87,84.2,62,40,9.17,CO,1595462133
26,Tandil,-37.32,-59.13,51.01,94,100,11.99,AR,1595462046
27,Peterhead,57.51,-1.8,55.4,93,90,3.36,GB,1595462133
28,Kahului,20.89,-156.47,89.6,52,40,23.04,US,1595462077
29,Port Elizabeth,-33.92,25.57,53.6,100,40,4.7,ZA,1595462127
30,Yellowknife,62.46,-114.35,66.0,93,90,11.41,CA,1595462133
31,Saint-François,46.42,3.91,64.99,82,10,3.36,FR,1595462133
32,Launceston,-41.45,147.17,43.0,80,10,0.47,AU,1595462133
33,Ushuaia,-54.8,-68.3,37.4,55,96,17.22,AR,1595462134
34,Hobart,-42.88,147.33,46.99,75,75,6.93,AU,1595461962
35,Cape Town,-33.93,18.42,54.0,93,0,1.12,ZA,1595461993
36,Chokurdakh,70.63,147.92,87.91,33,60,8.14,RU,1595462134
37,São Filipe,14.9,-24.5,78.4,85,99,7.61,CV,1595462024
38,Grindavik,63.84,-22.43,48.2,76,75,8.05,IS,1595462134
39,Ouégoa,-20.35,164.43,72.64,62,56,15.84,NC,1595462134
40,Ukiah,39.15,-123.21,89.6,31,1,12.75,US,1595462134
41,Provideniya,64.38,-173.3,50.0,76,20,11.18,RU,1595462134
42,Kapaa,22.08,-159.32,82.0,94,90,6.93,US,1595462134
43,Monrovia,6.3,-10.8,76.35,89,87,10.36,LR,1595461940
44,Esperance,-33.87,121.9,57.2,67,90,16.11,AU,1595462135
45,Puerto Ayora,-0.74,-90.35,70.0,91,85,5.99,EC,1595462003
